Probe	CCL_A	CCL_B	CCL_C
cg22734480	0.0477	0.2355	0.0626
cg22736107	0.0354	0.0157	0.0256
cg22736323	0.3764	0.9333	0.9055
cg22736354	0.568	0.1191	0.5714
cg22737001	0.6811	0.0552	0.4223
cg22740783	0.4789	0.443	0.131
cg22740835	0.5257	0.8935	0.0594
cg22744680	0.0597	0.0774	0.1594
cg22745747	0.5719	0.9115	0.0194
cg22747092	0.1759	0.2428	0.2359
cg22748452	0.6857	0.8033	0.8758
cg22748573	0.096	0.0852	0.1211
cg22748850	0.0652	0.0648	0.0824
cg22750254	0.65	0.2329	0.2631
cg22751696	0.8734	0.9407	0.0709
cg22752533	0.2855	0.9928	0.258
cg22753607	0.0368	0.0491	0.027
cg22753768	0.0626	0.076	0.0708
cg22757447	0.043	0.0634	0.0409
cg22759185	0.8924	0.9056	0.8869
cg22760576	0.0476	0.0333	0.0542
cg22762180	0.0452	0.0509	0.3369
cg22762309	0.1419	0.8523	0.081
cg22762951	0.1215	0.0921	0.0915
cg22763181	0	0.0106	0.0207
cg22764338	0.0207	0.0338	0.0438
cg22764341	0.3369	0.0759	0.1633
cg22764925	0.1235	0.1795	0.4592
cg22766145	0.6348	0.8985	0.4781
cg22767079	0.0532	0.0418	0.0639
cg22767735	0.0598	0.0504	0.0642
cg22771603	0.0236	0.0294	0.0286
cg22772878	0.2479	0.7321	0.5876
cg22774012	0.0558	0.0644	0.0748
cg22774127	0.0717	0.0743	0.1336
cg22774472	0.8923	0.7648	0.0639
cg22775000	0.7415	0.4853	0.4741
cg22775896	0.0272	0.0228	0.0342
cg22776578	0.2065	0.4048	0.1489
cg22777952	0.743	0.5104	0.3782
cg22778180	0.0241	0.0412	0.1434
cg22778981	0.0319	0.0403	0.0513
cg22780428	0.082	0.0557	0.0618
cg22780475	0.0667	0.0847	0.8941
cg22781236	0.1029	0.0885	0.1066
cg22781397	0.0596	0.072	0.0809
cg22783363	0.0407	0.0791	0.8552
cg22784047	0.8526	0.89	0.8613
cg22788223	0.078	0.0465	0.1068
cg22791453	0.5571	0.747	0.9383
cg22792432	0	0.0046	0.0076
cg22792910	0.0564	0.9079	0.6879
cg22792938	0.2523	0.2962	0.335
cg22793458	0.0897	0.0566	0.1015
cg22794078	0.5382	0.099	0.0723
cg22796458	0.0654	0.0884	0.0672
cg22797169	0.4739	0.0995	0.7629
cg22797991	0.1756	0.8618	0.0794
cg22799132	0.5493	0.8539	0.1916
cg22799321	0.7019	0.9221	0.1225
cg22799850	0.0265	0.0444	0.0303
cg22799917	0.0566	0.0639	0.0548
cg22800191	0.0297	0.0357	0.0352
cg22800631	0.1363	0.0844	0.1111
cg22802439	0.1261	0.8766	0.4659
cg22802739	0.0352	0.0426	0.0613
cg22805308	0.2179	0.7688	0.6809
cg22805517	0.091	0.0544	0.0497
cg22805632	0.2004	0.9088	0.8961
cg22807551	0.087	0.0466	0.1365
cg22807823	0.0471	0.0394	0.0294
cg22808175	0.1033	0.0625	0.0736
cg22812892	0.0658	0.0486	0.0768
cg22813220	0.0166	0.03	0.0328
cg22814247	0.0355	0.031	0.0329
cg22814929	0.1402	0.1902	0.1567
cg22815110	0.8182	0.0614	0.0741
cg22816171	0.0435	0.0352	0.0489
cg22820108	0.0867	0.0546	0.0939
cg22821324	0.9187	0.9355	0.1702
cg22821606	0.0034	0.0018	0.0166
cg22821834	0.8143	0.3833	0.1339
cg22821930	0.0115	0.011	0.0069
cg22825979	0.0817	0.0809	0.1086
cg22826936	0.1231	0.0788	0.4922
cg22827290	0.2929	0.0981	0.1091
cg22827640	0.0459	0.0367	0.0688
cg22828804	0.0242	0.0237	0.0387
cg22830590	0.0309	0.0266	0.0274
cg22830895	0.0455	0.9272	0.3777
cg22831263	0.0443	0.0361	0.062
cg22832044	0.0896	0.2444	0.3294
cg22833175	0.4343	0.5732	0.1137
cg22833292	0.0659	0.0695	0.1156
cg22836153	0.656	0.0557	0.9068
cg22836229	0.4952	0.4698	0.9198
cg22836370	0.0745	0.0737	0.0796
cg22836470	0.0807	0.7887	0.3706
cg22837289	0.0577	0.0742	0.0752
cg22838674	0.0444	0.0436	0.0624
cg22841169	0.0352	0.0514	0.0512
cg22842233	0.9087	0.9479	0.8877
cg22843446	0.2369	0.4065	0.3753
cg22844623	0.371	0.8316	0.7928
cg22845362	0.0516	0.0456	0.0643
cg22853986	0.3157	0.3081	0.0444
cg22854546	0.0192	0.0313	0.0244
cg22855405	0.054	0.0637	0.0545
cg22857957	0.1888	0.0703	0.0375
cg22858288	0.877	0.9026	0.9067
cg22858308	0.7149	0.8459	0.7693
cg22858728	0.1498	0.1256	0.1377
cg22858861	0.0778	0.1196	0.0689
cg22861316	0.2657	0.8383	0.3879
cg22862656	0.0662	0.6547	0.5299
cg22863122	0.023	0.0314	0.0497
cg22864416	0.0377	0.0236	0.0131
cg22867063	0.0612	0.8868	0.0755
cg22870256	0	0.0051	0
cg22870280	0.7402	0.8875	0.843
cg22873668	0.4958	0.0521	0.2759
cg22874046	0.0423	0.9272	0.0491
cg22874560	0.0145	0.0445	0.0493
cg22874695	0.058	0.056	0.04
cg22874960	0.0395	0.0394	0.0552
cg22875391	0.8665	0.8755	0.6004
cg22876908	0.1465	0.1713	0.1516
cg22878324	0.074	0.0835	0.0842
cg22879515	0.8857	0.0298	0.9856
cg22880820	0.0718	0.0596	0.0739
cg22882178	0.1397	0.6938	0.2242
cg22885821	0.3915	0.0694	0.092
cg22885965	0.0018	0.0018	0
cg22886005	0.0241	0.0178	0.0388
cg22886089	0.4144	0.8022	0.1624
cg22889448	0.0472	0.4649	0.0328
cg22889570	0	0.0918	0.0205
cg22892110	0.0628	0.712	0.7172
cg22892237	0.058	0.0674	0.0575
cg22892904	0.9348	0.925	0.8793
cg22901146	0.5786	0.9014	0.5221
cg22901840	0.2724	0.745	0.8943
cg22902083	0.0326	0.0885	0.1198
cg22903365	0.0317	0.036	0.031
cg22905097	0.2077	0.0463	0.3085
cg22905968	0.0616	0.0355	0.0463
cg22906389	0.0537	0.0905	0.0835
cg22907065	0.0459	0.0427	0.0433
cg22908581	0.0734	0.5152	0.2954
cg22909609	0.2751	0.7388	0.9127
cg22909962	0.0478	0.0466	0.0643
cg22913584	0	0.0035	0
cg22915732	0.0723	0.7813	0.0492
cg22916109	0.053	0.0495	0.1165
cg22917082	0.0093	0.0246	0.0359
cg22918700	0.6294	0.9577	0.8568
cg22919370	0.1825	0.075	0.6713
cg22919728	0.1311	0.5862	0.1488
cg22920538	0.0772	0.0771	0.1328
cg22920873	0.013	0.0213	0.0371
cg22925006	0.064	0.0541	0.0585
cg22925639	0.2901	0.9177	0.8944
cg22926560	0.0318	0.0151	0.1136
cg22927043	0.0665	0.1918	0.1051
cg22927134	0.1545	0.3026	0.3003
cg22930187	0.5812	0.1357	0.8798
cg22932215	0.0434	0.0887	0.0396
cg22932819	0.6254	0.8812	0.894
cg22933847	0.4141	0.8626	0.6853
cg22936016	0.0437	0.0129	0.0153
cg22937320	0.1332	0.8794	0.611
cg22937804	0.1003	0.9076	0.2185
cg22938407	0.0377	0.0454	0.0508
cg22939715	0.0517	0.0392	0.0765
cg22940152	0.3365	0.3681	0.754
cg22940789	0.0899	0.5187	0.095
cg22940988	0.9315	0.9364	0.9317
cg22941086	0.8602	0.9477	0.8458
cg22946150	0.6209	0.0315	0.0846
cg22946876	0.4329	0.0427	0.0565
cg22947000	0.0499	0.1113	0.0816
cg22949637	0.0493	0.0491	0.0836
cg22950347	0.0336	0.0302	0.0586
cg22950391	0.036	0.032	0.0485
cg22954265	0.5296	0.677	0.5216
cg22954818	0.4963	0.9366	0.5412
cg22956315	0.0331	0.0305	0.0342
cg22956483	0.1452	0.6413	0.1588
cg22956956	0.205	0.1932	0.2756
cg22957381	0.0144	0.0431	0.1022
cg22959932	0.0889	0.9176	0.8633
cg22960185	0.1472	0.2275	0.6373
cg22960501	0.048	0.0814	0.0623
cg22960952	0.0991	0.2715	0.034
cg22967016	0.2525	0.1022	0.4017
cg22967284	0.0557	0.5898	0.2069
cg22967298	0.0736	0.0543	0.0841
cg22968401	0.1468	0.5853	0.6688
cg22968727	0.0452	0.0523	0.0646
cg22970435	0.4098	0.8985	0.7675
cg22971191	0.7405	0.3848	0.1488
cg22972055	0.1439	0.0654	0.5496
cg22973038	0.0396	0.0533	0.0625
cg22973042	0.0402	0.045	0.0359
cg22974215	0.0954	0.0985	0.0936
cg22975712	0.2685	0.8681	0.1701
cg22975913	0.5488	0.5041	0.1821
cg22978941	0.0896	0.0663	0.1318
cg22979433	0.4207	0.9004	0.8813
cg22980079	0.9171	0.9144	0.9191
cg22980351	0.4036	0.8736	0.1234
cg22981461	0.033	0.1898	0.0656
cg22982528	0.0876	0.0663	0.1031
cg22983092	0.0566	0.8531	0.498
cg22983460	0.0611	0.0416	0.0664
cg22983529	0.3811	0.0934	0.0887
cg22984616	0.8745	0.0601	0.0744
cg22986077	0.7399	0.7927	0.849
cg22986271	0.0228	0.0637	0.105
cg22986999	0.0753	0.7018	0.3342
cg22988566	0.0753	0.8551	0.0632
cg22991148	0.0775	0.2179	0.0527
cg22992570	0.0447	0.037	0.0385
cg22994720	0.2764	0.8214	0.3618
cg22995106	0.0631	0.1215	0.0481
cg22995176	0.6791	0.3276	0.7282
cg22998811	0.0455	0.3456	0.0749
cg23001457	0.0962	0.8127	0.2348
cg23002761	0.9906	0.0239	0.9793
cg23002907	0.0426	0.0533	0.0423
cg23003832	0.0708	0.1511	0.1984
cg23003881	0.0256	0.0249	0.0119
cg23006204	0.3554	0.8787	0.8513
cg23009046	0.0959	0.1183	0.0775
cg23013392	0.0527	0.0527	0.0894
cg23013864	0.4657	0.5712	0.2584
cg23013931	0.081	0.0916	0.0914
cg23018891	0.0338	0.0394	0.0501
cg23020402	0.0417	0.0683	0.0617
cg23022999	0.8793	0.9378	0.8306
cg23026920	0.061	0.0405	0.0596
cg23026995	0.4488	0.9131	0.4403
cg23029193	0.1044	0.6611	0.3835
cg23029491	0.0474	0.0389	0.0537
cg23029494	0.0698	0.0612	0.0929
cg23029519	0.08	0.4509	0.1698
cg23030090	0.0435	0.0395	0.0508
cg23032316	0.0911	0.1368	0.1127
cg23033024	0.5512	0.8919	0.177
cg23033845	0.7816	0.8547	0.83
cg23033866	0.0739	0.0676	0.1139
cg23034818	0.1483	0.2766	0.1416
cg23035555	0.0296	0.0421	0.0639
cg23036025	0.611	0.833	0.7029
cg23036555	0.0702	0.062	0.0874
cg23037133	0.3672	0.3986	0.4059
cg23037403	0.7176	0.8776	0.2265
cg23040064	0.234	0.0868	0.3209
cg23042138	0.8822	0.9121	0.8823
cg23043119	0.0636	0.0452	0.0647
cg23043245	0.4768	0.8887	0.757
cg23043438	5e-04	0.0056	0.0108
cg23045373	0.1116	0.0989	0.1488
cg23047271	0.0663	0.8924	0.6379
cg23047681	0.0473	0.0487	0.076
cg23048366	0.0144	0.0224	0.0087
cg23050981	0.0755	0.3784	0.0662
cg23051598	0.5618	0.5243	0.4776
cg23051655	0.0451	0.0393	0.0518
cg23051664	0.0723	0.0474	0.8635
cg23054676	0.0785	0.0722	0.0916
cg23054883	0.8247	0.0785	0.1737
cg23055159	0.0725	0.062	0.0628
cg23055678	0.1054	0.2586	0.1643
cg23057732	0.0709	0.1286	0.0759
cg23058901	0.121	0.8929	0.8683
cg23060239	0.0516	0.0547	0.0913
cg23061257	0.0576	0.064	0.1121
cg23061578	0.0432	0.7183	0.0542
cg23062876	0.0244	0.0336	0.0288
cg23066860	0.8816	0.1922	0.3477
cg23066879	0.0238	0.0231	0.0219
cg23070249	0.0699	0.7988	0.0562
cg23070585	0.0354	0.0285	0.0502
cg23073111	0.2264	0.2592	0.3397
cg23074401	0.0512	0.0445	0.0536
cg23074453	0.0538	0.3921	0.0863
cg23074747	0.0118	0.0199	0.0329
cg23075286	0.0616	0.8301	0.1765
cg23076086	0.017	0.0453	0.0212
cg23078294	0.0874	0.0718	0.095
cg23079782	0.0929	0.5303	0.0764
cg23080667	0.049	0.0655	0.0638
cg23081213	0.1585	0.8458	0.7922
cg23082632	0.0819	0.0944	0.0847
cg23082877	0.8753	0.8691	0.8448
cg23083672	0.7022	0.9394	0.2958
cg23087084	0.0432	0.0318	0.0736
cg23087130	0.0175	0.0397	0.0647
cg23088430	0.0649	0.0692	0.0565
cg23089298	0.0811	0.1651	0.1258
cg23089438	0.0433	0.0362	0.0442
cg23089840	0.9265	0.6984	0.4396
cg23090046	0.1897	0.0738	0.2617
cg23090824	0.589	0.6847	0.122
cg23091824	0.0258	0.5228	0.4111
cg23092072	0.0915	0.0551	0.0629
cg23092086	0.0604	0.8449	0.8677
cg23092823	0.4918	0.8982	0.7578
cg23093462	0.1559	0.5114	0.1548
cg23093496	0.7736	0.882	0.8251
cg23096553	0.05	0.04	0.0394
cg23096644	0.9196	0.2612	0.0669
cg23097006	0.4209	0.8247	0.5575
cg23097681	0.052	0.0501	0.0631
cg23099347	0.0452	0.0357	0.0504
cg23099349	0.0516	0.0415	0.0276
cg23101680	0.0505	0.6819	0.0344
cg23104823	0.1103	0.0984	0.0739
cg23104955	0.0411	0.0307	0.0488
cg23106779	0.4568	0.9523	0.9022
cg23106864	0.045	0.0358	0.046
cg23109191	0.0339	0.0637	0.0813
cg23110514	0.0341	0.9196	0.0568
cg23110832	0.0728	0.0703	0.0841
cg23111544	0.1592	0.2745	0.1822
cg23112213	0.0714	0.0876	0.101
cg23113963	0.9257	0.9925	0.0052
cg23114594	0.2448	0.9358	0.732
cg23114866	0.1608	0.6582	0.0464
cg23116589	0.1357	0.8093	0.2749
cg23118151	0.4548	0.1141	0.1001
cg23121547	0.277	0.2696	0.322
cg23123262	0.0592	0.0392	0.0661
cg23123362	0.2203	0.0929	0.0737
cg23123694	0.0291	0.0401	0.0327
cg23124451	0.0395	0.7695	0.6557
cg23124755	0.0889	0.0959	0.1705
cg23126915	0.8879	0.9193	0.8894
cg23126947	0.9543	0.9769	0.9538
cg23126949	0.0872	0.1243	0.1581
cg23127998	0.0812	0.7957	0.0208
cg23128056	0.9179	0.9291	0.8093
cg23128146	0.0622	0.0501	0.0572
cg23129478	0.6451	0.932	0.442
cg23130254	0.274	0.9215	0.7444
cg23131007	0.3982	0.1315	0.0985
cg23131777	0.0872	0.4399	0.3552
cg23131950	0.3776	0.9525	0.4947
cg23134169	0.0746	0.0574	0.099
cg23134520	0.0608	0.0484	0.0501
cg23137494	0.074	0.0637	0.1482
cg23137807	0.0984	0.0784	0.1233
cg23140706	0.4377	0.8957	0.8234
cg23141333	0.0234	0.0279	0.0637
cg23141855	0.4289	0.8348	0.1084
cg23142900	0.0345	0.0326	0.0362
cg23142935	0.0696	0.0706	0.0773
cg23142964	0.0481	0.0541	0.0396
cg23143093	0.849	0.9343	0.9178
cg23144899	0.3453	0.8722	0.8378
cg23146358	0.0291	0.0381	0.0447
cg23147597	0.7548	0.9412	0.8995
cg23150219	0.0448	0.0466	0.0678
cg23150609	0.0578	0.0612	0.0739
cg23152667	0.2221	0.1831	0.2303
cg23154002	0.0356	0.2416	0.2531
cg23154272	0.3454	0.7529	0.4209
cg23158811	0.0566	0.0576	0.0758
cg23159296	0.0037	0.0137	0.0138
cg23159337	0.0477	0.7263	0.204
cg23159857	0.0175	0.3468	0.0521
cg23162441	0.079	0.0789	0.0978
cg23163471	0.4267	0.1107	0.1243
cg23163573	0.1024	0.5153	0.2059
cg23163644	0.0311	0.5119	0.0621
cg23164327	0.0516	0.0548	0.0734
cg23166289	0.0488	0.4447	0.0934
cg23172864	0.0461	0.0553	0.0707
cg23173032	0.0941	0.1438	0.1369
cg23173910	0.4594	0.8701	0.8819
cg23175281	0.0302	0.0391	0.0459
cg23179168	0.0506	0.0472	0.0444
cg23179321	0.0236	0.1404	0.0229
cg23180270	0.0577	0.8399	0.0811
cg23180365	0.023	0.0314	0.0557
cg23181133	0.5851	0.6669	0.0418
cg23181138	0.051	0.0442	0.0656
cg23181170	0.5549	0.5499	0.7027
cg23182539	0.0838	0.0615	0.0488
cg23185402	0.0444	0.0341	0.1117
cg23185657	0.0421	0.0441	0.049
cg23186643	0.0881	0.5552	0.7687
cg23187653	0.0366	0.9477	0.0305
cg23188547	0.0421	0.1241	0.0363
cg23189044	0.738	0.9525	0.8836
cg23190203	0.044	0.0415	0.0471
cg23191772	0.052	0.1027	0.0648
cg23191950	0.9192	0.5606	0.944
cg23196133	0.0127	0.0201	0.0206
cg23196831	0.5523	0.7655	0.8169
cg23197881	0.0328	0.0495	0.0712
cg23202409	0.0464	0.0506	0.0552
cg23205183	0.512	0.9319	0.8979
cg23207527	0.1739	0.921	0.9025
cg23207616	0.033	0.0188	0.0629
cg23207985	0.0817	0.1211	0.1116
cg23207990	0.6039	0.648	0.9472
cg23208152	0	0.9016	0.0206
cg23208881	0.6847	0.867	0.897
cg23211240	0.9298	0.0871	0.9374
cg23213170	0.042	0.0338	0.0447
cg23213688	0.0518	0.0419	0.1567
cg23214267	0.0497	0.0299	0.0583
cg23214764	0.4852	0.0942	0.248
cg23216184	0.0269	0.0685	0.0259
cg23217005	0.0752	0.1368	0.5699
cg23218877	0.4218	0.9138	0.8216
cg23219570	0.0851	0.8265	0.3121
cg23219720	0.58	0.8251	0.0771
cg23221122	0.0576	0.048	0.0693
cg23222573	0.0527	0.0396	0.0953
cg23226134	0.0777	0.093	0.0619
cg23228048	0.0505	0.0515	0.0646
cg23228178	0.041	0.901	0.1585
cg23230018	0.0255	0.0307	0.0427
cg23231873	0.054	0.0304	0.0297
cg23232084	0.9305	0.9053	0.8036
cg23233234	0.1225	0.1414	0.1736
cg23234510	0.0523	0.0456	0.065
cg23234999	0.5364	0.8804	0.5095
cg23235603	0.0496	0.055	0.0585
cg23239039	0.7662	0.1192	0.1766
cg23239052	0.0614	0.0809	0.1212
cg23239396	0.3487	0.8298	0.3538
cg23239444	0.2628	0.8555	0.7016
cg23239828	0.4019	0.3162	0.4071
cg23239842	0.0649	0.0678	0.0859
cg23240961	0.0545	0.0438	0.0513
cg23242017	0.0448	0.0623	0.0734
cg23242898	0.4502	0.7164	0.0679
cg23243617	0.4727	0.9307	0.7003
cg23244913	0.9892	0.9862	0.9882
cg23246978	0.1129	0.4224	0.0245
cg23248587	0.0341	0.0392	0.0386
cg23248865	0.0289	0.0266	0.0349
cg23257840	0	0.61	0.0257
cg23258063	0.0494	0.0514	0.06
cg23260026	0.908	0.9142	0.6338
cg23260799	0.1273	0.1092	0.084
cg23261102	0.0777	0.0504	0.079
cg23262918	0.0823	0.0563	0.0537
cg23263923	0.18	0.8339	0.1287
cg23264413	0.1708	0.8576	0.7123
cg23264519	0.1104	0.1291	0.0553
cg23265096	0.1812	0.5625	0.5684
cg23266266	0.0337	0.0424	0.0321
cg23267110	0.0016	0.015	0
cg23268677	0.0517	0.0503	0.0711
cg23269225	0.0527	0.0549	0.1041
cg23269489	0.027	0.0318	0.0199
cg23271318	0.067	0.0743	0.0758
cg23272214	0.3935	0.9259	0.8681
cg23273333	0.1439	0.4971	0.1379
cg23273897	0.3992	0.8854	0.1499
cg23274123	0.1134	0.1307	0.1118
cg23276695	0.067	0.4347	0.7297
cg23278885	0.1808	0.8259	0.781
cg23279136	0.0313	0.034	0.0531
cg23280339	0.0535	0.0913	0.0729
cg23281417	0.0502	0.0744	0.0585
cg23282559	0.4945	0.4538	0.4844
cg23282674	0.2312	0.92	0.9104
cg23282771	0.0465	0.0397	0.3814
cg23282949	0.3066	0.8568	0.6546
cg23283495	0.0341	0.031	0.5103
cg23283875	0.0395	0.068	0.1088
cg23285573	0.1141	0.379	0.0903
cg23287547	0.4565	0.1051	0.0679
cg23290344	0.7708	0.0106	0.9848
cg23291865	0.1747	0.2196	0.1196
cg23293787	0.4214	0.6172	0.3514
cg23297477	0.9758	0.0191	0
cg23299127	0.0515	0.0591	0.0655
cg23300372	0.2579	0.7276	0.1664
cg23300897	0.0522	0.0927	0.0942
cg23303074	0.6611	0.6256	0.7136
cg23303408	0.4624	0.9292	0.4574
cg23303782	0.0711	0.0554	0.0561
cg23306832	0.0873	0.1251	0.0729
cg23307264	0.0528	0.0634	0.0699
cg23309825	0.1009	0.1362	0.0638
cg23310538	0.0749	0.0701	0.1027
cg23311549	0.0772	0.076	0.0955
cg23311628	0.004	0.0104	0.0038
cg23316360	0.3601	0.8234	0.0571
cg23317501	0.6468	0.9271	0.3229
cg23318804	0.0087	0.0171	0.0108
cg23320056	0.1336	0.1088	0.1269
cg23322112	0.8914	0.9382	0.168
cg23322316	0.1538	0.0604	0.0656
cg23322523	0.5761	0.9399	0.8614
cg23323711	0.0331	0.0412	0.0459
cg23323879	0.7381	0.8986	0.8661
cg23324259	0.0136	0.0514	0.012
cg23324787	0.3483	0.94	0.8121
cg23325242	0.0921	0.3549	0.1071
cg23325932	0.0648	0.1011	0.0459
cg23326301	0.3523	0.9018	0.7519
cg23326689	0.6875	0.9541	0.9071
cg23326785	0.5659	0.081	0.5911
cg23328124	0.8764	0.9561	0.9644
cg23333306	0.0216	0.0451	0.0615
cg23333420	0.0399	0.0346	0.0517
cg23335946	0.0819	0.0721	0.0709
cg23337289	0.0583	0.0717	0.0796
cg23337382	0.0804	0.0782	0.1129
cg23337754	0.8556	0.7066	0.3384
cg23338195	0.065	0.4675	0.0562
cg23338993	0.5485	0.0582	0.4443
cg23345864	0.0527	0.0469	0.0583
cg23346960	0.0573	0.0673	0.0886
cg23347400	0.0562	0.0542	0.0912
cg23347958	0.0497	0.0303	0.0516
cg23350087	0.0048	0.0129	0.03
cg23350274	0.3098	0.9153	0.6033
cg23350446	0.0946	0.0837	0.1019
cg23350580	0.2688	0.6162	0.3311
cg23352579	0.0268	0.026	0.0384
cg23353982	0.1543	0.0658	0.1496
cg23355492	0.091	0.9146	0.2949
cg23355725	0.0666	0.2957	0.1101
cg23356993	0.0133	0.0141	0.0138
cg23357981	0.2784	0.6727	0.169
cg23360251	0.1806	0.0629	0.0678
cg23361608	0.0353	0.0373	0.0581
cg23362667	0.0426	0.4113	0.1183
cg23363832	0.6693	0.0325	0.9817
cg23364287	0.0274	0.0347	0.0372
cg23365832	0.003	0.0077	0.0213
cg23366119	0.0397	0.0117	0.0281
cg23366752	0.1	0.0721	0.8234
cg23367478	0.8411	0.0636	0.0545
cg23372001	0.0392	0.0395	0.0318
cg23376526	0.0698	0.0483	0.4451
cg23377693	0.0783	0.0656	0.0873
cg23378495	0.017	0.0386	0.0397
cg23381116	0.0772	0.0749	0.0695
cg23382741	0.5202	0.8932	0.7627
cg23384185	0.0364	0.0328	0.034
cg23384620	0.9106	0.6291	0.1676
cg23389061	0.0435	0.0517	0.0629
cg23391006	0.6799	0.0591	0.107
cg23391785	0.9836	0.2631	0.046
cg23392730	0.0353	0.0617	0.0404
cg23392782	0.1225	0.0926	0.0895
cg23393291	0.0289	0.0437	0.0374
cg23397015	0.6735	0.074	0.3039
cg23398173	0.023	0.1156	0.0253
cg23398241	0.3279	0.8151	0.4332
cg23398385	0.0674	0.0453	0.0608
cg23400451	0.0473	0.3333	0.7361
cg23401756	0.4422	0.9089	0.8049
cg23402444	0.043	0.9361	0.0864
cg23403256	0.6762	0.9442	0.9388
cg23404467	0.6715	0.9103	0.2649
cg23408913	0.0536	0.056	0.0583
cg23410627	0.4571	0.5027	0.8802
cg23411876	0.0667	0.0907	0.0713
cg23412777	0.7728	0.9041	0.9087
cg23412850	0.8114	0.171	0.8186
cg23412875	0.0018	0.0058	0.0127
cg23413307	0.0787	0.393	0.0815
cg23414387	0.2727	0.854	0.0423
cg23414431	0.6511	0.9173	0.8757
cg23418591	0.4297	0.1308	0.8771
cg23422659	0.9681	0.4646	0.465
cg23423382	0.4202	0.0227	0.0119
cg23424268	0.0496	0.7239	0.0813
cg23424962	0.2678	0.7523	0.4486
cg23426587	0.2169	0.0885	0.114
cg23427565	0.0633	0.0355	0.061
cg23428445	0.2433	0.0774	0.1632
cg23429696	0.4406	0.0182	0.0106
cg23430634	0.7893	0.8868	0.8248
cg23430664	0.0463	0.1099	0.266
cg23431988	0.528	0.849	0.8559
cg23432345	0.0156	0.0113	0.9142
cg23433607	0.1595	0.0827	0.1181
cg23434459	0.0744	0.0594	0.1202
cg23434919	0.0436	0.0483	0.0527
cg23435746	0.6911	0.0374	0.4956
cg23439277	0.4016	0.5674	0.4079
cg23441167	0.1126	0.1137	0.1475
cg23441208	0.0209	0.0131	0.0141
cg23442323	0.4209	0.0431	0.0332
cg23444894	0.0641	0.7959	0.0849
cg23445511	0.0427	0.0583	0.0698
cg23446109	0.0317	0.0463	0.0432
cg23447996	0.5597	0.0839	0.2258
cg23448096	0.0117	0.0142	0.0336
cg23451311	0.0801	0.086	0.0904
cg23452458	0.3044	0.3189	0.0424
cg23455517	0.0571	0.6465	0.8421
cg23455614	0.0452	0.0396	0.0621
cg23455897	0.0497	0.0515	0.0751
cg23456306	0.0289	0.0372	0.0601
cg23456692	0.0743	0.0764	0.1121
cg23458892	0.3759	0.8482	0.5176
cg23459997	0.0875	0.0766	0.1205
cg23460697	0.896	0.9179	0.9293
cg23464269	0.0385	0.7776	0.4423
cg23470272	0.0564	0.0548	0.0486
cg23471482	0.3431	0.9061	0.6243
cg23472215	0.3795	0.5208	0.4261
cg23473726	0.0091	0.0286	0.0132
cg23473849	0.0841	0.0734	0.0964
cg23473904	0.5009	0.062	0.0601
cg23475963	0.0855	0.0847	0.0721
cg23476955	0.0207	0.0176	0.0296
cg23477967	0.6353	0.9295	0.0571
cg23478284	0.674	0.05	0.0312
cg23480499	0.0292	0.0196	0.0475
cg23481221	0.0404	0.03	0.0391
cg23484278	0.0464	0.0565	0.0404
cg23486067	0.0487	0.0353	0.0573
cg23487586	0.6486	0.8089	0.809
cg23488190	0.0843	0.0745	0.0788
cg23489497	0.0495	0.0423	0.1315
cg23490074	0.1731	0.1602	0.1768
cg23492043	0.4473	0.9637	0.1007
cg23493704	0.8497	0.8624	0.7965
cg23494853	0.0545	0.0481	0.0509
cg23495059	0.0312	0.0318	0.0268
cg23495733	0.9847	0.0109	0.0115
cg23496260	0.8833	0.3377	0.3501
cg23499956	0.0959	0.065	0.6482
cg23502772	0.2018	0.8637	0.5281
cg23503501	0.4765	0.0828	0.7605
cg23504707	0.7723	0.9177	0.9262
cg23506842	0.507	0.9126	0.8287
cg23507131	0.058	0.6033	0.3403
cg23508052	0.0396	0.0264	0.0974
cg23508540	0.0204	0.0214	0.0139
cg23508786	0.0908	0.1977	0.1863
cg23509064	0.0648	0.1012	0.1063
cg23509869	0.2188	0.8246	0.2779
cg23512958	0	0.0208	0
cg23513504	0.1594	0.0806	0.1696
cg23513644	0.0439	0.0354	0.0617
cg23513690	0.0244	0.0314	0.0323
cg23514672	0.1558	0.9272	0.5518
cg23517548	0.0568	0.0565	0.0934
cg23517605	0.1839	0.6009	0.8826
cg23519022	0.828	0.9248	0.877
cg23520347	0.7161	0.2184	0.1978
cg23521069	0.0562	0.0458	0.0541
cg23521281	0.0382	0.0252	0.0319
cg23523368	0.3394	0.9431	0.7091
cg23525180	0.0471	0.0436	0.0541
cg23526055	0.0482	0.0542	0.059
cg23527067	0.4678	0.9249	0.8282
cg23528708	0.0487	0.038	0.0667
cg23530850	0.0663	0.051	0.1113
cg23533073	0.045	0.0497	0.0321
cg23536300	0.0802	0.0481	0.1163
cg23538854	0.0795	0.0795	0.0583
cg23539753	0.1482	0.0702	0.0726
cg23539966	0.0113	0.006	0.0039
cg23540518	0.9806	0.9063	0.8488
cg23540745	0.8882	0.9087	0.8896
cg23543604	0.0617	0.0515	0.0823
cg23545272	0.0592	0.0643	0.1471
cg23547073	0.0876	0.0848	0.1236
cg23547429	0.149	0.3961	0.1299
cg23548479	0.1683	0.3366	0.1098
